Words,Language
Nice,English
Vedio,English
Super,English
athend,Tulu
Anda,Tulu
card,Mixed
deppunath,Tulu
H,English
deppunu,Tulu
Ponnu,Tulu
bari,Tulu
telthondu,Tulu
ullol,Tulu
.,sym
kure,Tulu
uttunda,Tulu
eddeye,Tulu
.,sym
Poppa,Tulu
thulu,Name
full,English
drama,English
plz,English
.,sym
Ale,Tulu
avlu,Tulu
kula,Tulu
popuniiiiii,Tulu
.,sym
Best,English
dialogue,English
being,English
Onje,Tulu
Table,English
du,Tulu
Onje,Tulu
Kaane,Tulu
da,Tulu
Mande,Tulu
ori,Tulu
Beela,Tulu
ori,Tulu
thindondu,Tulu
.,sym
avatthande,Tulu
Tulu,Name
base,Kannada
da,Tulu
padya,Tulu
.,sym
aayena,Tulu
pukuli,Tulu
kaarla,Location
d,Tulu
uamDuye,Tulu
.,sym
Avule,Tulu
olpana,Tulu
birkudu,Tulu
ipodu,Tulu
sari,Tulu
nadla,Tulu
maare,Tulu
.,sym
Yerandala,Tulu
umbena,Tulu
pukuli,Tulu
naded,Tulu
korle,Tulu
.,sym
lv,English
u,English
dodddaaa,Tulu
cute,English
.,sym
Maddaledarna,Tulu
pudar,Tulu
dade,Tulu
.,sym
Yenchi,Tulu
savuda,Tulu
comedy,English
.,sym
Guru,Name
chinddhi,Kannada
Director,Name
he,Kannada
.,sym
Comedy,English
baari,Tulu
shhoku,Tulu
aathmDu,Tulu
.,sym
Dala,Tulu
edde,Tulu
atji,Tulu
.,sym
adyaako,Kannada
mumchina,Kannada
flavour,English
idralli,Kannada
kaaNislilla,Kannada
aadru,Kannada
boLaar,Location
avarannu,Kannada
noDode,Kannada
oamdu,Kannada
aanamda,Kannada
.,sym
Parkat,Tulu
table,English
patond,Tulu
umbene,Tulu
saavda,Tulu
canteen,English
.,sym
Enchi,Tulu
savda,Tulu
comedy,English
mare,Tulu
.,sym
Super,English
chotu,Name
Anna,Kannada
.,sym
Chiku,Name
aawu,Tulu
hahahaha,English
.,sym
Baaari,Tulu
yedde,Tulu
ithnd,Tulu
movie,English
matherna,Tulu
acting,English
and,English
musicla,Mixed
super,English
aathnd,Tulu
.,sym
Next,English
part,English
unde,Tulu
.,sym
Waa,English
waa,English
bhagavathike,Tulu
very,English
nice,English
.,sym
Supari,Kannada
atth,Tulu
maruthi,Kannada
korthini,Tulu
.,sym
my,English
varanasi,Location
sa,English
hu,English
.,sym
E,Tulu
season,English
ayini,Tulu
padhle,Tulu
.,sym
aasene,Tulu
dukkogu,Tulu
mula,Kannada
.,sym
Lo,Kannada
hoodi,Kannada
baaba,Kannada
yaaro,Kannada
torisro,Kannada
adda,Kannada
beelana,Kannada
.,sym
yedde,Tulu
athndu,Tulu
Bust,English
of,English
luk,English
.,sym
dipak,Name
paalaDkana,Location
over,English
acting,English
jaasthi,Tulu
aaamD,Tulu
.,sym
Full,English
cast,English
name,English
padle,Tulu
.,sym
Sppr,English
anna,Kannada
jai,Name
tulu,Name
appe,Tulu
.,sym
Spr,English
acting,English
kalvana,Tulu
.,sym
Nikul,Tulu
matha,Tulu
ullaratha,Tulu
adion,Mixed
pleas,English
upload,English
.,sym
Baari,Tulu
Shok,Tulu
da,Tulu
Nataka,Kannada
Super,English
acting,English
.,sym
Akhila,Kannada
bharatha,Kannada
pukuli,Tulu
fans,English
.,sym
st,English
da,Tulu
doctor,English
compounder,English
.,sym
yenk,Tulu
undu,Tulu
part,English
mastt,Tulu
essta,Tulu
.,sym
Dayeg,Tulu
ajjigu,Tulu
makar,Tulu
manparu,Tulu
Paapa,Tulu
.,sym
thunagane,Tulu
mai,Tulu
irmena,Tulu
aapumDu,Tulu
.,sym
Niku,Tulu
boda,Tulu
maraya,Tulu
.,sym
viDiyo,English
thuvare,Tulu
dumbu,Tulu
enna,Tulu
oamji,Tulu
laik,English
.,sym
super,English
Comedy,English
full,English
movie,English
link,English
manpule,Tulu
.,sym
Ajji,Kannada
baree,Tulu
sokude,Tulu
paterver,Tulu
.,sym
Ee,Tulu
vedion,Mixed
tuvanaga,Tulu
romanchana,Kannada
appund,Tulu
.,sym
Nammala,Mixed
Vorkady,Location
dane,Tulu
team,English
support,English
malpule,Tulu
.,sym
Kattapa,Name
murder,English
daye,Tulu
.,sym
avve,Tulu
kannada,Name
progrm,English
d,Tulu
aathunda,Tulu
kalavide,Tulu
pidayi,Tulu
popunath,Tulu
judges,English
nakl,Tulu
pidae,Tulu
pothuver,Tulu
.,sym
Swami,Kannada
ajjaeere,Tulu
kapule,Tulu
.,sym
nice,English
comedyy,English
telthu,Tulu
telthu,Tulu
banji,Tulu
bene,Tulu
battindu,Tulu
mare,Tulu
.,sym
dipak,Name
sar,Name
nimma,Kannada
abhinaya,Kannada
uththama,Kannada
.,sym
Fim,English
name,English
chali,Tulu
att,English
boggi,Tulu
.,sym
Swami,Kannada
koragajja,Name
kapule,Tulu
yenk,Tulu
yapogla,Tulu
beri,Tulu
sahayadu,Tulu
uppule,Tulu
ajja,Kannada
.,sym
Full,English
movie,English
bodu,Tulu
paduvara,Tulu
.,sym
Waltar,Name
sir,Kannada
namasthe,Kannada
ck,Name
prasanth,Name
supar,English
.,sym
masth,Tulu
shok,Tulu
uamDu,Tulu
very,English
funny,English
.,sym
Camera,English
wrk,English
super,English
.,sym
Chaa,Tulu
parpi,Tulu
leka,Tulu
tojuvena,Tulu
nayi,Kannada
.,sym
Namma,Kannada
akkare,Kannada
song,English
panka,Tulu
pukuli,Tulu
maya,Kannada
tho,Tulu
.,sym
Yn,Tulu
yelya,Tulu
epunaga,Tulu
cassett,Tulu
kanath,Tulu
kenondithina,Tulu
nenapapund,Tulu
tq,English
.,sym
NAMMA,Kannada
BHASHE,Kannada
NAMMA,Kannada
HEMME,Kannada
JAI,Name
TULUNADU,Name
.,sym
Aathla,Tulu
jagrathe,Tulu
ijja,Tulu
maraya,Tulu
ainla,Tulu
miss,English
mnthonvera,Tulu
.,sym
Onthe,Tulu
dinat,Tulu
gottapundu,Tulu
Modina,Tulu
respect,English
.,sym
Aravend,Name
Thonaga,Tulu
Ambulance,English
Thoeyleakka,Tulu
Aapond,Tulu
.,sym
Super,English
next,English
episode,English
haki,Kannada
.,sym
thelth,Tulu
thelth,Tulu
banji,Tulu
bene,Tulu
aad,Tulu
kannd,Tulu
neer,Tulu
batthud,Tulu
superb,English
comedy,English
.,sym
Super,English
attundu,Tulu
eregu,Tulu
yedde,Tulu
partner,English
tikkuder,Tulu
partner,English
in,English
crime,English
avenu,Tulu
change,English
maltudu,Tulu
partner,English
in,English
acting,English
malpuga,Tulu
.,sym
Nikleg,Tulu
bethe,Tulu
yerla,Tulu
judge,English
tikdijera,Tulu
ayan,Tulu
deple,Tulu
marre,Tulu
marle,Tulu
vijayn,Name
nattunayan,Tulu
.,sym
Full,English
drama,English
yapa,Tulu
paduvar,Tulu
.,sym
Av,Tulu
ov,Tulu
mare,Tulu
minshaa,Kannada
.,sym
namg,Kannada
negaaDi,Kannada
negaaDi,Kannada
hoTTi,Kannada
nov,Kannada
shuru,Kannada
aaythu,Kannada
.,sym
DaakTar,English
glovs,English
paaDudujer,Tulu
.,sym
Materegla,Tulu
manas,Tulu
dinjina,Tulu
solmel,Tulu
.,sym
Yn,Tulu
toote,Tulu
aven,Tulu
enklna,Tulu
oorudu,Tulu
.,sym
Cycle,English
lakkad,Tulu
shimogad,Location
marunu,Tulu
.,sym
baari,Kannada
sokaathmD,Tulu
enna,Tulu
phevareT,English
kaamiDi,English
aakTar,English
ravi,Name
raamakumja,Name
.,sym
Sarai,Name
ramro,Name
git,Other
k,English
.,sym
idyaava,Kannada
baasheno,Kannada
maaraaya,Kannada
.,sym
l,English
u,English
ajji,Kannada
.,sym
Nama,Tulu
pukuli,Tulu
n,Tulu
balamangalad,Tulu
nadunda,Tulu
thikkanda,Tulu
.,sym
Full,English
movie,English
upload,English
mlpule,Tulu
.,sym
Jokleg,Tulu
vaccine,English
bega,Tulu
korpale,Tulu
.,sym
Inchina,Tulu
movie,English
daaye,Tulu
hit,English
ayiji,Tulu
Please,English
upload,English
Amber,Tulu
Carters,English
part,English
Shine,Name
sheytty,Name
.,sym
Telth,Tulu
telthd,Tulu
banji,Tulu
bene,Tulu
aand,Tulu
.,sym
sar,English
kannaDa,Kannada
dalli,Kannada
maaDi,Kannada
pls,English
.,sym
Anna,Kannada
undu,Tulu
film,English
ovu,Tulu
mare,Tulu
padle,Tulu
.,sym
Sorry,English
bro,English
ninna,Tulu
pukuli,Tulu
nardh,Tulu
koreg,Tulu
ayiji,Tulu
Pukuli,Tulu
is,English
coming,English
soon,English
.,sym
Karnatakod,Location
inchina,Tulu
actor,Name
ullara,Tulu
panpunav,Tulu
nank,Tulu
hemme,Kannada
.,sym
Long,English
time,English
episode,English
barad,Tulu
good,English
all,English
comedy,English
actors,English
good,English
team,English
Jai,Name
tulunad,Location
.,sym
bari,Tulu
yedde,Tulu
undu,Tulu
.,sym
Tulu,Name
baarandinaaye,Tulu
judge,English
dada,Tulu
malpve,Tulu
.,sym
Oula,Tulu
thuvare,Tulu
ejjinda,Tulu
au,Tulu
.,sym
Embyag,Tulu
like,English
comment,English
poora,Tulu
tuluvernane,Tulu
jaaasty,Tulu
undodaa,Tulu
.,sym
Swami,Kannada
Ajja,Kannada
Ere,Tulu
Kapule,Tulu
.,sym
Daada,Tulu
niklena,Tulu
poora,Tulu
la,Tulu
copyright,English
avondundu,Tulu
comedy,English
scenen,Mixed
poora,Tulu
trollg,Mixed
use,English
malpulekane,Tulu
ijji,Tulu
.,sym
SATYA,Kannada
DAIVA,Tulu
DHARMA,Kannada
DAIVA,Tulu
KORAGAJJA,Name
SWAMI,Kannada
KAAPULE,Tulu
.,sym
Super,English
nataka,Kannada
ye,Tulu
undu,Tulu
.,sym
Yerandala,Tulu
mena,Tulu
pukuli,Tulu
nadle,Tulu
.,sym
I,English
miss,English
my,English
Dodda,Tulu
U,English
.,sym
Embena,Tulu
maya,Tulu
aathina,Tulu
pukulin,Tulu
olu,Tulu
nadunu,Tulu
marre,Tulu
u,English
d,English
.,sym
Erna,Tulu
jigiri,Tulu
dosth,Tulu
mast,Tulu
masthani,Tulu
ora,Tulu
thumbugaye,Tulu
what,English
a,English
dioloage,English
.,sym
Super,English
comedy,English
Please,English
send,English
me,English
the,English
link,English
of,English
Chimpus,Name
episodeda,Mixed
Making,English
superb,English
athnd,Tulu
.,sym
Edde,Tulu
undu,Tulu
trailer,English
All,English
the,English
best,English
.,sym
Boda,Tulu
pukuli,Tulu
korka,Tulu
maraya,Tulu
eth,Tulu
bodu,Tulu
pukuli,Tulu
Nik,Tulu
hahahaha,English
pukuli,Tulu
pukuli,Tulu
.,sym
Yenchi,Tulu
saavda,Tulu
comedy,English
